price,Brand,Model,Display,Screen resolution,Processor,connectivity,Wireless network card,Total volume,RAM Memory,Memory expansion slot,Front camera,Rear camera,Operating system,Charging and data transfer connection,Connecting headphones,A-GPS,Color,Weight,Miscellaneous,Warranty
969,Samsung,Galaxy Tab A8 X200,"""10.5
Technology TFT Color Depth 16M",1920x1200 WUXGA,Octa Core Unisoc T618 Octa-core (2x2.0 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),"Wi-Fi
Bluetooth 5.0",Wi-Fi 802.11 a/b/g/n/ac 2.4G+5GHz,64GB,4GB,MicroSD עד 1TB,5 מגה פיקסל,8 מגה פיקסל,Android,USB Type-C,PL 3.5mm,כלול,אפור,כ- 508 גרם,"חיישנים:
Accelerometer
Gyro Sensor
Geomagnetic Sensor
Hall Sensor
Light Sensor",שנה אחריות על ידי היבואן הרשמי בטלפון 1-800-071-071
819,Lenovo,ZA6W0093IL,,1280x800,MediaTek P22T (4 x 2.3 GHz + 4 x 1.8 GHz),"Wi-Fi
Bluetooth 5.0",Wi-Fi 802.11 a/b/g/n/ac 2.4/5 GHz,64GB,4GB,עד - MicroSD 256GB,5 מגה פיקסל,8 מגה פיקסל,Android 10,USB Type C,"3.5 מ""מ",,Platinum Grey,משקל כ- 420 גרם,"חיישנים:
G-Sensor
Hall Sensor
P-Sensor
L-Sensor","שנה ע""י היבואן הרשמי
ניתן להרחיב אחריות לטאבלט זה בתוספת תשלום עד כ-9 חודשים ממועד הקנייה
למידע נוסף  לחץ/י כאן"
"1,439",Apple,iPad (9th Generation),"Retina display
-10.2inch (diagonal) LED-backlit Multi-Touch display with IPS technology",2160x 1620 pixel,A13 Bionic chip with 64-bit architecture,"Wi-Fi
Bluetooth 4.2",Wi-Fi 802.11a/b/g/n/ac dual band 2.4GHz and 5GHz,64GB,,,12 מגה פיקסל,8 מגה פיקסל,iPadOS 15,Lightning,ללא,ללא,כסוף,כ- 487 גרם,תומך ב (Apple Pencil (1nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
449,Lenovo,Tab M7 TB-7306F,"Size:7"" display IPS 350nits",HD 1024x600,MediaTek MT8166 ARM Cortex A53 Quad-core 2.0GHz,"Wi-Fi
Bluetooth 5.0",Wi-Fi 802.11 a/b/g/n/ac 1x1,32GB,2GB,MicroSD עד 128GB,2 מגה פיקסל,2 מגה פיקסל,Android 11 Go edition,Micro-USB,"3.5 מ""מ",כלול,Iron Grey,כ- 237 גרם,,"שנה ע""י היבואן הרשמי
ניתן להרחיב אחריות לטאבלט זה בתוספת תשלום עד כ-9 חודשים ממועד הקנייה
למידע נוסף  לחץ/י כאן"
"1,389",Samsung,Galaxy Tab S6 Lite SM-P613,10.4 1200x2000 WUXGA+ (400 nit) TFT LCD Colour Depth (Main Display) 16M,2000x 1200,"Qualcomm SM7125 Snapdragon 720G (8 nm)
Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver)","Wi-Fi

Bluetooth 5.0 LE","Wi-Fi 802.11 a/b/g/n/ac 2.4G+5GHz, VHT80 MIMO",64GB,4GB,MicroSD עד 1TB,5 מגה פיקסל,8 מגה פיקסל,Android,USB Type-C,PL 3.5mm,כלול,אפור,כ-467 גרם,מגיע עם עט באריזה,שנה אחריות על ידי היבואן הרשמי בטלפון 1-800-071-071
"2,589",Apple,iPad Air (5th Generation),"Liquid Retina display
""10.9- (diagonal) LED‑backlit Multi‑Touch display with IPS technology",pixels 2360 x 1640,Apple M1 chip 8-core CPU 8-core graphics Apple Neural Engine 8GB RAM,"Wi-Fi 
Bluetooth 5.0",Wi-Fi 802.11ax dual band,64GB,,,"12 מגה פיקסל
ƒ/2.4 aperture","12 מגה פיקסל
ƒ/1.8 aperture",iPadOS 15,USB Type-C,ללא,ללא,Starlight,כ- 461 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
779,Samsung,Tab A7 Lite SM-T225,"TFT Color Depth 16M

""8.7",WXGA+ 1340 x 800,MediaTek MT8768T Octa Core (4x2.3GHz + 4x1.8GHz),"Wi-Fi
Bluetooth 5.0",Wi-Fi 802.11 a/b/g/n/ac,32GB,3GB,MicroSD עד 1TB,2 מגה פיקסל,8 מגה פיקסל,Android,USB Type-C,PL 3.5mm,כלול,אפור,כ- 366 גרם,,שנה אחריות על ידיה היבואן הרשמי בטלפון 1-800-071-071
"1,649",Samsung,P619,"WUXGA 400 nit TFT LCD Colour Depth (Main Display) 16M

""10.4",2000x 1200,"Qualcomm SM7125 Snapdragon 720G (8 nm)
Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver)","LTE
Wi-Fi
Bluetooth 5.0","802.11 a/b/g/n/ac 2.4G+5GHz, VHT80 MIMO",64GB,4GB,MicroSD עד 1TB,5 מגה פיקסל,8 מגה פיקסל,Android,USB Type-C,PL 3.5mm,כלול,אפור,כ-467 גרם,מגיע עם עט באריזה,שנה אחריות ע''י היבואן הרשמי
"3,589",Apple,iPad PRO M2 11,Liquid Retina display 11-inch (diagonal) LED backlit Multi‑Touch display with IPS technology 2388-by-1668-pixel resolution at 264 pixels per inch (ppi) ProMotion technology Wide color display (P3) True Tone display Fingerprint-resistant oleophobic coating Fully laminated display Antireflective coating 1.8% reflectivity SDR brightness: 600 nits max Supports Apple Pencil (2nd generation) Apple Pencil hover,pixels 2388 x 1668,"Apple M2 chip 8-core CPU with 4 performance cores and 4 efficiency cores 10-core GPU 16-core Neural Engine 100GB/s memory bandwidth 8GB RAM on models with 128GB, 256GB, or 512GB storage 16GB RAM on models with 1TB or 2TB storage Media engine Hardware-accelerated H.264, HEVC, ProRes, and ProRes RAW Video decode engine Video encode engine ProRes encode and decode engine","Wi-Fi
Bluetooth 5.3 technology","Wi‑Fi 6E (802.11ax) with 2x2 MIMO, simultaneous dual band (2.4GHz and 5GHz)4 Bluetooth 5.3 technology",128GB,,,"12MP Ultra Wide camera, 122° field of view ƒ/2.4 aperture Portrait mode with advanced bokeh and Depth Control Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High‑Key Mono) Animoji and Memoji Smart HDR 4 1080p HD video recording at 25 fps, 30 fps, or 60 fps Time‑lapse video with stabilization Extended dynamic range for video up to 30 fps Cinematic video stabilization (1080p and 720p) Wide color capture for photos and Live Photos Lens correction Retina Flash Auto image stabilization Burst mode","Pro camera system: Wide and Ultra Wide cameras Wide: 12MP, ƒ/1.8 aperture Ultra Wide: 10MP, ƒ/2.4 aperture, and 125° field of view 2x optical zoom out Digital zoom up to 5x Five‑element lens (Wide and Ultra Wide) Brighter True Tone flash Panorama (up to 63MP) Sapphire crystal lens cover Autofocus with Focus Pixels (Wide) Smart HDR 4 Wide color capture for photos and Live Photos Lens correction (Ultra Wide) Advanced red-eye correction Photo geotagging Auto image stabilization Burst mode Image formats captured: HEIF and JPEG",iPadOS 16,"Thunderbolt / USB 4 port with support for:
Charging
DisplayPort
Thunderbolt 3 (up to 40Gb/s)
USB 4 (up to 40Gb/s)
USB 3.1 Gen 2 (up to 10Gb/s)",ללא,Digital compass Wi-Fi iBeacon microlocation,Space Gray,כ- 466 גרם,תומך ב Apple Pencil 2. העט ניתן לרכישה בנפרד,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"4,940",Apple,MNXP3RK/A,"Liquid Retina XDR display 12.9-inch (diagonal) mini-LED backlit Multi‑Touch display with IPS technology 2D backlighting system with 2596 full‑array local dimming zones 2732-by-2048-pixel resolution at 264 pixels per inch (ppi) ProMotion technology Wide color display (P3) True Tone display Fingerprint-resistant oleophobic coating Fully laminated display Antireflective coating 1.8% reflectivity SDR brightness: 600 nits max XDR brightness: 1000 nits max full screen, 1600 nits peak (HDR content only) 1,000,000:1 contrast ratio Supports Apple Pencil (2nd generation) Apple Pencil hover",pixels 2732 x 2048,"Apple M2 chip 8-core CPU with 4 performance cores and 4 efficiency cores 10-core GPU 16-core Neural Engine 100GB/s memory bandwidth 8GB RAM on models with 128GB, 256GB, or 512GB storage 16GB RAM on models with 1TB or 2TB storage Media engine Hardware-accelerated H.264, HEVC, ProRes, and ProRes RAW Video decode engine Video encode engine ProRes encode and decode engine","Wi-Fi
Bluetooth 5.3","Wi‑Fi 6E (802.11ax) with 2x2 MIMO, simultaneous dual band (2.4GHz and 5GHz)4 Bluetooth 5.3 technology",128GB,,,"12MP Ultra Wide camera, 122° field of view ƒ/2.4 aperture Portrait mode with advanced bokeh and Depth Control Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High‑Key Mono) Animoji and Memoji Smart HDR 4 1080p HD video recording at 25 fps, 30 fps, or 60 fps Time‑lapse video with stabilization Extended dynamic range for video up to 30 fps Cinematic video stabilization (1080p and 720p) Wide color capture for photos and Live Photos Lens correction Retina Flash Auto image stabilization Burst mode","Pro camera system: Wide and Ultra Wide cameras Wide: 12MP, ƒ/1.8 aperture Ultra Wide: 10MP, ƒ/2.4 aperture, and 125° field of view 2x optical zoom out Digital zoom up to 5x Five‑element lens (Wide and Ultra Wide) Brighter True Tone flash Panorama (up to 63MP) Sapphire crystal lens cover Autofocus with Focus Pixels (Wide) Smart HDR 4 Wide color capture for photos and Live Photos Lens correction (Ultra Wide) Advanced red-eye correction Photo geotagging Auto image stabilization Burst mode Image formats captured: HEIF and JPEG",iPadOS 16,"Thunderbolt / USB 4 port with support for:
Charging
DisplayPort
Thunderbolt 3 (up to 40Gb/s)
USB 4 (up to 40Gb/s)
USB 3.1 Gen 2 (up to 10Gb/s)",ללא,Digital compass Wi-Fi iBeacon microlocation,SPACE GRAY,כ- 682 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"1,989",Apple,MPQ33RK/A,"Liquid Retina display 10.9-inch
LED backlit Multi‑Touch display with IPS technology 
IPS technology",pixels 2360 x 1640,A14 Bionic chip 6-core CPU 4-core graphics 16-core Neural Engine,"Wi-Fi 
Bluetooth 5.2",802.11ax Wi-Fi 6; simultaneous dual band (2.4GHz and 5GHz); HT80 with MIMO,,64GB,,"12 מגה פיקסל
ƒ/2.4 aperture","12 מגה פיקסל
ƒ/1.8 aperture",iPadOS 16,USB Type-C,ללא,ללא,Pink,כ-477 גרם,,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
629,Lenovo,Tab M8 TB-8505X,"""8 HD display IPS with Capacitive touchscreen 10-Point multitouch",(HD (1280x800,"MediaTek® Helio A22 Tab, Quad-Core, 2.0 GHz","Wi-Fi + 4G
ההפעלה ומהירות הדור שבו תומך המכשיר תלויה ברשת הסלולר וכפופה לתמיכת רשת הסלולר

Bluetooth 5.0",WiFi 802.11 a/b/g/n/ac,32GB,2GB,microSD עד 128GB,2 מגה פיקסל,5 מגה פיקסל,Android 9 Pie Go Edition,Micro USB,כלול,כלול,אפור,כ-305 גרם,,"שנה ע""י היבואן הרשמי
ניתן להרחיב אחריות לטאבלט זה בתוספת תשלום עד כ-9 חודשים ממועד הקנייה
למידע נוסף  לחץ/י כאן"
739,Lenovo,ZA6W0225IL,"Size : 10.1"" Type : IPS Resolution : HD (1280 x 800) Screen : LCD, TDDI Direct Bonding Color Gamut: 60% (NTSC) Brightness : Up to 400 nits Touch : 10-point Multitouch",1280x800,MediaTek P22T (4 x 2.3 GHz + 4 x 1.8 GHz),"Wi-Fi
Bluetooth 5.0",WiFi 802.11 a/b/g/n/ac; 2.4 GHz & 5 GHz,32GB,3GB,עד - MicroSD 256GB,5 מגה פיקסל,8 מגה פיקסל,Android 10 or later,USB Type C,"3.5 מ""מ",,Iron Grey,כ- 420 גרם,"חיישנים:
Accelerometer (G) sensor
Ambient light sensor (ALS)
Hall sensor
Proximity (P) sensor

שפות: עברית, אנגלית רוסית וערבית

2 side speakers, optimized with Dolby Atmos","שנה ע""י היבואן הרשמי
ניתן להרחיב אחריות לטאבלט זה בתוספת תשלום עד כ-9 חודשים ממועד הקנייה
למידע נוסף  לחץ/י כאן"
"1,239",Samsung,Samsung Galaxy Tab A8 10.5 X205,"10.5"" TFT 1920 x 1200 WUXGA 16:10 ratio 80.0% screen-to-body ratio (216 ppi density)",1920x1200,"Octa Core Unisoc T618 Octa-core (2x2.0 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55)
GPU: Mali G52 MP2","WiFi+LTE 
NANO SIM",Wi-Fi 802.11 a/b/g/n/ac 2.4G+5GHz,64GB,4GB,MicroSD עד 1TB,5 מגה פיקסל,8 מגה פיקסל,Android™ 11,1x Type C USB 2.0,PL 3.5mm,כולל,כסוף,כ 508גרם,"חיישנים:
Accelerometer
Gyro Sensor
Geomagnetic Sensor
Hall Sensor
Light Sensor
סוללה: Li-Po 7040 mAh
שפות: עברית אנגלית ערבית רוסית ועוד...",שנה אחריות על ידי היבואן הרשמי בטלפון 1-800-071-071
"1,039",Lenovo,Tab M10 TB-X606F,"Size: 10.3"" IPS Resolution: FHD 1920 x 1200 Screen: TDDI Color Gamut: 70.3% 330 nits Touch: 10-point Multitouch",FHD 1920x1200,"MediaTek® Helio P22T Tab, Octa-Core, Up to 2.3 GHz main frequency","Wi-Fi

Bluetooth 5.0",WiFi 802.11 a/b/g/n/ac 2.4/5 GHz,128GB,4GB,עד - MicroSD 256GB,5 מגה פיקסל,8 מגה פיקסל,Android 9 Pie,USB Type C,"3.5 מ""מ",כלול,אפור,כ- 460 גרם,"חיישנים:
G-Sensor
Vibrator
Hall Sensor
P-Sensor
L-Sensor 
GPS","שנה ע""י היבואן הרשמי
ניתן להרחיב אחריות לטאבלט זה בתוספת תשלום עד כ-9 חודשים ממועד הקנייה
למידע נוסף  לחץ/י כאן"
539,Lenovo,Tab M8 HD TB-8505F,"Size:8"" HD display 1280 x 800 IPS 350nits Touch:10-point Multitouch",HD 1280x800,"MediaTek Helio A22 Tab, Quad-Core, 2.0 GHz","WiFi 
Bluetooth® 5.0",WiFi 802.11 a/b/g/n/ac 2.4/5 GHz,32GB,2GB,עד - MicroSD 128GB,2 מגה פיקסל,5 מגה פיקסל,Android 9 Pie Go Edition,Micro USB,"3.5 מ""מ",כלול,אפור,כ- 305 גרם,,"שנה ע""י היבואן הרשמי
ניתן להרחיב אחריות לטאבלט זה בתוספת תשלום עד כ-9 חודשים ממועד הקנייה
למידע נוסף  לחץ/י כאן"
759,Lenovo,Tab M10 TB-X505L,"""10.1 IPS 300nits 10-point Multi-touch",(HD (1280x800,Qualcomm Snapdragon 429,"Wi-Fi + 4G
ההפעלה ומהירות הדור שבו תומך המכשיר תלויה ברשת הסלולר וכפופה לתמיכת רשת הסלולר

Bluetooth 4.2","WiFi 802.11 a/b/g/n/ac, 1x1",32GB,2GB,microSD עד 256GB,2 מגה פיקסל,5 מגה פיקסל,Android 9.0,Micro USB,כלול,כלול,לבן,כ-480 גרם,,"שנה ע""י היבואן הרשמי
ניתן להרחיב אחריות לטאבלט זה בתוספת תשלום עד כ-9 חודשים ממועד הקנייה
למידע נוסף  לחץ/י כאן"
699,Lenovo,Tab M10 TB-X505F,"""10.1 IPS 300nits 10-point Multi-touch",(HD (1280x800,Qualcomm Snapdragon 429,"Wi-Fi

Bluetooth 4.2",802.11 a/b/g/n/ac,32GB,2GB,microSD עד 256GB,2 מגה פיקסל,5 מגה פיקסל,Android 9.0,Micro USB,כלול,כלול,שחור,כ-480 גרם,,"שנה ע""י היבואן הרשמי
ניתן להרחיב אחריות לטאבלט זה בתוספת תשלום עד כ-9 חודשים ממועד הקנייה
למידע נוסף  לחץ/י כאן"
869,Lenovo,Tab M10 TB-X306F,"Size : 10.1"" Type : IPS Resolution : HD (1280 x 800) Screen : LCD, TDDI Direct Bonding Color Gamut: 60% (NTSC) Brightness : Up to 400 nits Touch : 10-point Multitouch",1280x800,(MediaTek P22T (4 x 2.3 GHz + 4 x 1.8 GHz,"Wi-Fi
Bluetooth 5.0",WiFi 802.11 a/b/g/n/ac 2.4/5 GHz,64GB,4GB,עד - MicroSD 256GB,5 מגה פיקסל,8 מגה פיקסל,Android 10,USB Type C,"3.5 מ""מ
Dual Speakers Tuned by Dolby Atmos",כלול,,כ- 420 גרם,"חיישנים:
G-Sensor
Hall Sensor
P-Sensor
L-Sensor
GPS","שנה ע""י היבואן הרשמי
ניתן להרחיב אחריות לטאבלט זה בתוספת תשלום עד כ-9 חודשים ממועד הקנייה
למידע נוסף  לחץ/י כאן"
"1,079",Lenovo,Tab M10 TB-X606X ZA5V0067IL,"Size: 10.3"" IPS Resolution: FHD 1920 x 1200 Screen: TDDI Color Gamut: 70.3% 330 nits Touch: 10-point Multitouch",FHD 1920x1200,"MediaTek® Helio P22T Tab, Octa-Core, Up to 2.3 GHz main frequency","Wi-Fi + 4G
ההפעלה ומהירות הדור שבו תומך המכשיר תלויה ברשת הסלולר וכפופה לתמיכת רשת הסלולר

Bluetooth 5.0",WiFi 802.11 a/b/g/n/ac 2.4/5 GHz,128GB,4GB,עד - MicroSD 256GB,5 מגה פיקסל,8 מגה פיקסל,"Android™ 9 Pie™ Heb, Eng",USB Type C,"3.5 מ""מ",כלול,אפור,כ- 460 גרם,"חיישנים:
G-Sensor
Vibrator
Hall Sensor
P-Sensor
L-Sensor 
GPS","שנה ע""י היבואן הרשמי
ניתן להרחיב אחריות לטאבלט זה בתוספת תשלום עד כ-9 חודשים ממועד הקנייה
למידע נוסף  לחץ/י כאן"
"1,439",Apple,iPad (9th Generation),"Retina display
-10.2inch (diagonal) LED-backlit Multi-Touch display with IPS technology",2160x 1620 pixel,A13 Bionic chip with 64-bit architecture,"Wi-Fi
Bluetooth 4.2",Wi-Fi 802.11a/b/g/n/ac dual band 2.4GHz and 5GHz,64GB,,,12 מגה פיקסל,8 מגה פיקסל,iPadOS 15,Lightning,ללא,ללא,אפור חלל,כ- 487 גרם,תומך ב (Apple Pencil (1nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"2,089",Apple,iPad (9th Generation),"Retina display
-10.2inch (diagonal) LED-backlit Multi-Touch display with IPS technology",2160x 1620 pixel,A13 Bionic chip with 64-bit architecture,"Wi-Fi
Bluetooth 4.2",Wi-Fi 802.11a/b/g/n/ac dual band 2.4GHz and 5GHz,256GB,,,12 מגה פיקסל,8 מגה פיקסל,iPadOS 15,Lightning,ללא,ללא,כסוף,כ- 487 גרם,תומך ב (Apple Pencil (1nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
779,Samsung,Tab A7 Lite SM-T225,"TFT Color Depth 16M

""8.7",WXGA+ 1340 x 800,MediaTek MT8768T Octa Core (4x2.3GHz + 4x1.8GHz),"Wi-Fi
Bluetooth 5.0",Wi-Fi 802.11 a/b/g/n/ac,32GB,3GB,MicroSD עד 1TB,2 מגה פיקסל,8 מגה פיקסל,Android,USB Type-C,PL 3.5mm,כלול,אפור,כ- 366 גרם,,שנה אחריות היבואן הרשמי
995,Samsung,Galaxy Tab A8 SM-X200,"""10.5
Technology TFT Color Depth 16M",1920x1200 WUXGA,Octa Core Unisoc T618 Octa-core (2x2.0 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),"Wi-Fi
Bluetooth 5.0",Wi-Fi 802.11 a/b/g/n/ac 2.4G+5GHz,64GB,4GB,MicroSD עד 1TB,5 מגה פיקסל,8 מגה פיקסל,Android,USB Type-C,PL 3.5mm,כלול,כסוף - Silver,כ- 508 גרם,"חיישנים:
Accelerometer
Gyro Sensor
Geomagnetic Sensor
Hall Sensor
Light Sensor",שנה אחריות היבואן הרשמי
"1,079",Lenovo,Tab P11 Plus TB-J616F,"""11
IPS TDDI Brightness 400nits Aspect Ratio 15:9 Contrast Ratio 1500:1 Color Gamut 70% NTSC Viewing Angle 160° 16.7M, 213 PPI, above 85% screen-to-body ratio, refresh rate 60Hz",2K 2000x1200,"MediaTek Helio G90T (8C, 2x A76 @2.05GHz + 6x A55 @2.0GHz)","Wi-Fi
Bluetooth 5.1",Wi-Fi 802.11 a/b/g/n/ac Dual-band,64GB,4GB,עד - MicroSD 256GB,8 מגה פיקסל + ToF Sensor,13 מגה פיקסל,Android 11,USB Type C,,כלול,Slate Grey,כ- 490 גרם,"חיישנים:
Accelerometer (G) sensor 
Proximity (P) sensor
Ambient light sensor (ALS) 
Gyroscope sensor Hall sensor 
ToF sensor

רמקולים:
4side stereo speakers, 1W x4, optimized with Dolby® Atmos®","שנה ע""י היבואן הרשמי
ניתן להרחיב אחריות לטאבלט זה בתוספת תשלום עד כ-9 חודשים ממועד הקנייה
למידע נוסף  לחץ/י כאן"
"2,589",Apple,iPad Air (5th Generation),"Liquid Retina display
""10.9- (diagonal) LED‑backlit Multi‑Touch display with IPS technology",pixels 2360 x 1640,Apple M1 chip 8-core CPU 8-core graphics Apple Neural Engine 8GB RAM,"Wi-Fi 
Bluetooth 5.0",Wi-Fi 802.11ax dual band,64GB,,,"12 מגה פיקסל
ƒ/2.4 aperture","12 מגה פיקסל
ƒ/1.8 aperture",iPadOS 15,USB Type-C,ללא,ללא,Space Gray,כ- 461 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"2,589",Apple,iPad Air (5th Generation),"Liquid Retina display
""10.9- (diagonal) LED‑backlit Multi‑Touch display with IPS technology",pixels 2360 x 1640,Apple M1 chip 8-core CPU 8-core graphics Apple Neural Engine 8GB RAM,"Wi-Fi 
Bluetooth 5.0",Wi-Fi 802.11ax dual band,64GB,,,"12 מגה פיקסל
ƒ/2.4 aperture","12 מגה פיקסל
ƒ/1.8 aperture",iPadOS 15,USB Type-C,ללא,ללא,ורוד,כ- 461 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"2,589",Apple,iPad Air (5th Generation),"Liquid Retina display
""10.9- (diagonal) LED‑backlit Multi‑Touch display with IPS technology",pixels 2360 x 1640,Apple M1 chip 8-core CPU 8-core graphics Apple Neural Engine 8GB RAM,"Wi-Fi 
Bluetooth 5.0",Wi-Fi 802.11ax dual band,64GB,,,"12 מגה פיקסל
ƒ/2.4 aperture","12 מגה פיקסל
ƒ/1.8 aperture",iPadOS 15,USB Type-C,ללא,ללא,כחול,כ- 461 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"2,589",Apple,iPad Air (5th Generation),"Liquid Retina display
""10.9- (diagonal) LED‑backlit Multi‑Touch display with IPS technology",pixels 2360 x 1640,Apple M1 chip 8-core CPU 8-core graphics Apple Neural Engine 8GB RAM,"Wi-Fi 
Bluetooth 5.0",Wi-Fi 802.11ax dual band,64GB,,,"12 מגה פיקסל
ƒ/2.4 aperture","12 מגה פיקסל
ƒ/1.8 aperture",iPadOS 15,USB Type-C,ללא,ללא,סגול,כ- 461 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"3,189",Apple,iPad Air (5th Generation),"Liquid Retina display
""10.9- (diagonal) LED‑backlit Multi‑Touch display with IPS technology",pixels 2360 x 1640,Apple M1 chip 8-core CPU 8-core graphics Apple Neural Engine 8GB RAM,"Wi-Fi 
Bluetooth 5.0",Wi-Fi 802.11ax dual band,256GB,,,"12 מגה פיקסל
ƒ/2.4 aperture","12 מגה פיקסל
ƒ/1.8 aperture",iPadOS 15,USB Type-C,ללא,ללא,Space Gray,כ- 461 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"3,189",Apple,iPad Air (5th Generation),"Liquid Retina display
""10.9- (diagonal) LED‑backlit Multi‑Touch display with IPS technology",pixels 2360 x 1640,Apple M1 chip 8-core CPU 8-core graphics Apple Neural Engine 8GB RAM,"Wi-Fi 
Bluetooth 5.0",Wi-Fi 802.11ax dual band,256GB,,,"12 מגה פיקסל
ƒ/2.4 aperture","12 מגה פיקסל
ƒ/1.8 aperture",iPadOS 15,USB Type-C,ללא,ללא,ורוד,כ- 461 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"3,189",Apple,iPad Air (5th Generation),"Liquid Retina display
""10.9- (diagonal) LED‑backlit Multi‑Touch display with IPS technology",pixels 2360 x 1640,Apple M1 chip 8-core CPU 8-core graphics Apple Neural Engine 8GB RAM,"Wi-Fi 
Bluetooth 5.0",Wi-Fi 802.11ax dual band,256GB,,,"12 מגה פיקסל
ƒ/2.4 aperture","12 מגה פיקסל
ƒ/1.8 aperture",iPadOS 15,USB Type-C,ללא,ללא,כחול,כ- 461 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"3,189",Apple,iPad Air (5th Generation),"Liquid Retina display
""10.9- (diagonal) LED‑backlit Multi‑Touch display with IPS technology",pixels 2360 x 1640,Apple M1 chip 8-core CPU 8-core graphics Apple Neural Engine 8GB RAM,"Wi-Fi 
Bluetooth 5.0",Wi-Fi 802.11ax dual band,256GB,,,"12 מגה פיקסל
ƒ/2.4 aperture","12 מגה פיקסל
ƒ/1.8 aperture",iPadOS 15,USB Type-C,ללא,ללא,Starlight,כ- 461 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
