price,Brand,Model,Display,Screen resolution,Processor,connectivity,Wireless network card,Total volume,RAM Memory,Memory expansion slot,Front camera,Rear camera,Operating system,Charging and data transfer connection,Connecting headphones,A-GPS,Color,Weight,Miscellaneous,Warranty
"4,940",Apple,MNXQ3RK/A,"Liquid Retina XDR display 12.9-inch (diagonal) mini-LED backlit Multi‑Touch display with IPS technology 2D backlighting system with 2596 full‑array local dimming zones 2732-by-2048-pixel resolution at 264 pixels per inch (ppi) ProMotion technology Wide color display (P3) True Tone display Fingerprint-resistant oleophobic coating Fully laminated display Antireflective coating 1.8% reflectivity SDR brightness: 600 nits max XDR brightness: 1000 nits max full screen, 1600 nits peak (HDR content only) 1,000,000:1 contrast ratio Supports Apple Pencil (2nd generation) Apple Pencil hover",pixels 2732 x 2048,"Apple M2 chip 8-core CPU with 4 performance cores and 4 efficiency cores 10-core GPU 16-core Neural Engine 100GB/s memory bandwidth 8GB RAM on models with 128GB, 256GB, or 512GB storage 16GB RAM on models with 1TB or 2TB storage Media engine Hardware-accelerated H.264, HEVC, ProRes, and ProRes RAW Video decode engine Video encode engine ProRes encode and decode engine","Wi-Fi
Bluetooth 5.3
Wi‑Fi 6E (802.11ax) with 2x2 MIMO, simultaneous dual band (2.4GHz and 5GHz)4 Bluetooth 5.3 technology",,128GB,,,"12MP Ultra Wide camera, 122° field of view ƒ/2.4 aperture Portrait mode with advanced bokeh and Depth Control Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High‑Key Mono) Animoji and Memoji Smart HDR 4 1080p HD video recording at 25 fps, 30 fps, or 60 fps Time‑lapse video with stabilization Extended dynamic range for video up to 30 fps Cinematic video stabilization (1080p and 720p) Wide color capture for photos and Live Photos Lens correction Retina Flash Auto image stabilization Burst mode","Pro camera system: Wide and Ultra Wide cameras Wide: 12MP, ƒ/1.8 aperture Ultra Wide: 10MP, ƒ/2.4 aperture, and 125° field of view 2x optical zoom out Digital zoom up to 5x Five‑element lens (Wide and Ultra Wide) Brighter True Tone flash Panorama (up to 63MP) Sapphire crystal lens cover Autofocus with Focus Pixels (Wide) Smart HDR 4 Wide color capture for photos and Live Photos Lens correction (Ultra Wide) Advanced red-eye correction Photo geotagging Auto image stabilization Burst mode Image formats captured: HEIF and JPEG",iPadOS 16,"Thunderbolt / USB 4 port with support for:
Charging
DisplayPort
Thunderbolt 3 (up to 40Gb/s)
USB 4 (up to 40Gb/s)
USB 3.1 Gen 2 (up to 10Gb/s)",ללא,Digital compass Wi-Fi iBeacon microlocation,SILVER,כ- 682 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"5,340",Apple,MNXR3RK/A,"Liquid Retina XDR display 12.9-inch (diagonal) mini-LED backlit Multi‑Touch display with IPS technology 2D backlighting system with 2596 full‑array local dimming zones 2732-by-2048-pixel resolution at 264 pixels per inch (ppi) ProMotion technology Wide color display (P3) True Tone display Fingerprint-resistant oleophobic coating Fully laminated display Antireflective coating 1.8% reflectivity SDR brightness: 600 nits max XDR brightness: 1000 nits max full screen, 1600 nits peak (HDR content only) 1,000,000:1 contrast ratio Supports Apple Pencil (2nd generation) Apple Pencil hover",pixels 2732 x 2048,"Apple M2 chip 8-core CPU with 4 performance cores and 4 efficiency cores 10-core GPU 16-core Neural Engine 100GB/s memory bandwidth 8GB RAM on models with 128GB, 256GB, or 512GB storage 16GB RAM on models with 1TB or 2TB storage Media engine Hardware-accelerated H.264, HEVC, ProRes, and ProRes RAW Video decode engine Video encode engine ProRes encode and decode engine","Wi-Fi
Bluetooth 5.3
Wi‑Fi 6E (802.11ax) with 2x2 MIMO, simultaneous dual band (2.4GHz and 5GHz)4 Bluetooth 5.3 technology",,256GB,,,"12MP Ultra Wide camera, 122° field of view ƒ/2.4 aperture Portrait mode with advanced bokeh and Depth Control Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High‑Key Mono) Animoji and Memoji Smart HDR 4 1080p HD video recording at 25 fps, 30 fps, or 60 fps Time‑lapse video with stabilization Extended dynamic range for video up to 30 fps Cinematic video stabilization (1080p and 720p) Wide color capture for photos and Live Photos Lens correction Retina Flash Auto image stabilization Burst mode","Pro camera system: Wide and Ultra Wide cameras Wide: 12MP, ƒ/1.8 aperture Ultra Wide: 10MP, ƒ/2.4 aperture, and 125° field of view 2x optical zoom out Digital zoom up to 5x Five‑element lens (Wide and Ultra Wide) Brighter True Tone flash Panorama (up to 63MP) Sapphire crystal lens cover Autofocus with Focus Pixels (Wide) Smart HDR 4 Wide color capture for photos and Live Photos Lens correction (Ultra Wide) Advanced red-eye correction Photo geotagging Auto image stabilization Burst mode Image formats captured: HEIF and JPEG",iPadOS 16,"Thunderbolt / USB 4 port with support for:
Charging
DisplayPort
Thunderbolt 3 (up to 40Gb/s)
USB 4 (up to 40Gb/s)
USB 3.1 Gen 2 (up to 10Gb/s)",ללא,Digital compass Wi-Fi iBeacon microlocation,SPACE GRAY,כ- 682 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"6,499",Apple,MNXU3RK/A,"Liquid Retina XDR display 12.9-inch (diagonal) mini-LED backlit Multi‑Touch display with IPS technology 2D backlighting system with 2596 full‑array local dimming zones 2732-by-2048-pixel resolution at 264 pixels per inch (ppi) ProMotion technology Wide color display (P3) True Tone display Fingerprint-resistant oleophobic coating Fully laminated display Antireflective coating 1.8% reflectivity SDR brightness: 600 nits max XDR brightness: 1000 nits max full screen, 1600 nits peak (HDR content only) 1,000,000:1 contrast ratio Supports Apple Pencil (2nd generation) Apple Pencil hover",pixels 2732 x 2048,"Apple M2 chip 8-core CPU with 4 performance cores and 4 efficiency cores 10-core GPU 16-core Neural Engine 100GB/s memory bandwidth 8GB RAM on models with 128GB, 256GB, or 512GB storage 16GB RAM on models with 1TB or 2TB storage Media engine Hardware-accelerated H.264, HEVC, ProRes, and ProRes RAW Video decode engine Video encode engine ProRes encode and decode engine","Wi-Fi
Bluetooth 5.3
Wi‑Fi 6E (802.11ax) with 2x2 MIMO, simultaneous dual band (2.4GHz and 5GHz)4 Bluetooth 5.3 technology",,512GB,,,"12MP Ultra Wide camera, 122° field of view ƒ/2.4 aperture Portrait mode with advanced bokeh and Depth Control Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High‑Key Mono) Animoji and Memoji Smart HDR 4 1080p HD video recording at 25 fps, 30 fps, or 60 fps Time‑lapse video with stabilization Extended dynamic range for video up to 30 fps Cinematic video stabilization (1080p and 720p) Wide color capture for photos and Live Photos Lens correction Retina Flash Auto image stabilization Burst mode","Pro camera system: Wide and Ultra Wide cameras Wide: 12MP, ƒ/1.8 aperture Ultra Wide: 10MP, ƒ/2.4 aperture, and 125° field of view 2x optical zoom out Digital zoom up to 5x Five‑element lens (Wide and Ultra Wide) Brighter True Tone flash Panorama (up to 63MP) Sapphire crystal lens cover Autofocus with Focus Pixels (Wide) Smart HDR 4 Wide color capture for photos and Live Photos Lens correction (Ultra Wide) Advanced red-eye correction Photo geotagging Auto image stabilization Burst mode Image formats captured: HEIF and JPEG",iPadOS 16,"Thunderbolt / USB 4 port with support for:
Charging
DisplayPort
Thunderbolt 3 (up to 40Gb/s)
USB 4 (up to 40Gb/s)
USB 3.1 Gen 2 (up to 10Gb/s)",ללא,Digital compass Wi-Fi iBeacon microlocation,SPACE GRAY,כ- 682 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"4,790",Apple,MNXJ3RK/A,Liquid Retina display 11-inch (diagonal) LED backlit Multi‑Touch display with IPS technology 2388-by-1668-pixel resolution at 264 pixels per inch (ppi) ProMotion technology Wide color display (P3) True Tone display Fingerprint-resistant oleophobic coating Fully laminated display Antireflective coating 1.8% reflectivity SDR brightness: 600 nits max Supports Apple Pencil (2nd generation) Apple Pencil hover,pixels 2388 x 1668,"Apple M2 chip 8-core CPU with 4 performance cores and 4 efficiency cores 10-core GPU 16-core Neural Engine 100GB/s memory bandwidth 8GB RAM on models with 128GB, 256GB, or 512GB storage 16GB RAM on models with 1TB or 2TB storage Media engine Hardware-accelerated H.264, HEVC, ProRes, and ProRes RAW Video decode engine Video encode engine ProRes encode and decode engine","Wi-Fi
Bluetooth 5.3 technology","Wi‑Fi 6E (802.11ax) with 2x2 MIMO, simultaneous dual band (2.4GHz and 5GHz)4 Bluetooth 5.3 technology",512GB,,,"12MP Ultra Wide camera, 122° field of view ƒ/2.4 aperture Portrait mode with advanced bokeh and Depth Control Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High‑Key Mono) Animoji and Memoji Smart HDR 4 1080p HD video recording at 25 fps, 30 fps, or 60 fps Time‑lapse video with stabilization Extended dynamic range for video up to 30 fps Cinematic video stabilization (1080p and 720p) Wide color capture for photos and Live Photos Lens correction Retina Flash Auto image stabilization Burst mode","Pro camera system: Wide and Ultra Wide cameras Wide: 12MP, ƒ/1.8 aperture Ultra Wide: 10MP, ƒ/2.4 aperture, and 125° field of view 2x optical zoom out Digital zoom up to 5x Five‑element lens (Wide and Ultra Wide) Brighter True Tone flash Panorama (up to 63MP) Sapphire crystal lens cover Autofocus with Focus Pixels (Wide) Smart HDR 4 Wide color capture for photos and Live Photos Lens correction (Ultra Wide) Advanced red-eye correction Photo geotagging Auto image stabilization Burst mode Image formats captured: HEIF and JPEG",iPadOS 16,"Thunderbolt / USB 4 port with support for:
Charging
DisplayPort
Thunderbolt 3 (up to 40Gb/s)
USB 4 (up to 40Gb/s)
USB 3.1 Gen 2 (up to 10Gb/s)",ללא,Digital compass Wi-Fi iBeacon microlocation,Silver,כ- 466 גרם,תומך ב Apple Pencil 2. העט ניתן לרכישה בנפרד,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"5,719",Apple,MP1Y3RK/A,"Liquid Retina XDR display 12.9-inch (diagonal) mini-LED backlit Multi‑Touch display with IPS technology 2D backlighting system with 2596 full‑array local dimming zones 2732-by-2048-pixel resolution at 264 pixels per inch (ppi) ProMotion technology Wide color display (P3) True Tone display Fingerprint-resistant oleophobic coating Fully laminated display Antireflective coating 1.8% reflectivity SDR brightness: 600 nits max XDR brightness: 1000 nits max full screen, 1600 nits peak (HDR content only) 1,000,000:1 contrast ratio Supports Apple Pencil (2nd generation) Apple Pencil hover",pixels 2732 x 2048,"Apple M2 chip 8-core CPU with 4 performance cores and 4 efficiency cores 10-core GPU 16-core Neural Engine 100GB/s memory bandwidth 8GB RAM on models with 128GB, 256GB, or 512GB storage 16GB RAM on models with 1TB or 2TB storage Media engine Hardware-accelerated H.264, HEVC, ProRes, and ProRes RAW Video decode engine Video encode engine ProRes encode and decode engine","Wi-Fi + Cellular
Bluetooth 5.3
Wi‑Fi 6E (802.11ax) with 2x2 MIMO, simultaneous dual band (2.4GHz and 5GHz)4 Bluetooth 5.3 technology",,128GB,,,"12MP Ultra Wide camera, 122° field of view ƒ/2.4 aperture Portrait mode with advanced bokeh and Depth Control Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High‑Key Mono) Animoji and Memoji Smart HDR 4 1080p HD video recording at 25 fps, 30 fps, or 60 fps Time‑lapse video with stabilization Extended dynamic range for video up to 30 fps Cinematic video stabilization (1080p and 720p) Wide color capture for photos and Live Photos Lens correction Retina Flash Auto image stabilization Burst mode","Pro camera system: Wide and Ultra Wide cameras Wide: 12MP, ƒ/1.8 aperture Ultra Wide: 10MP, ƒ/2.4 aperture, and 125° field of view 2x optical zoom out Digital zoom up to 5x Five‑element lens (Wide and Ultra Wide) Brighter True Tone flash Panorama (up to 63MP) Sapphire crystal lens cover Autofocus with Focus Pixels (Wide) Smart HDR 4 Wide color capture for photos and Live Photos Lens correction (Ultra Wide) Advanced red-eye correction Photo geotagging Auto image stabilization Burst mode Image formats captured: HEIF and JPEG",iPadOS 16,"Thunderbolt / USB 4 port with support for:
Charging
DisplayPort
Thunderbolt 3 (up to 40Gb/s)
USB 4 (up to 40Gb/s)
USB 3.1 Gen 2 (up to 10Gb/s)",ללא,ללא,SILVER,כ- 685 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"2,789",Apple,MQ6L3RK/A,"Liquid Retina display 10.9-inch
LED backlit Multi‑Touch display with IPS technology 
IPS technology",pixels 2360 x 1640,A14 Bionic chip 6-core CPU 4-core graphics 16-core Neural Engine,"Cellular+Wi-Fi
Bluetooth 5.2",802.11ax Wi-Fi 6; simultaneous dual band (2.4GHz and 5GHz); HT80 with MIMO,64GB,,,"12 מגה פיקסל
ƒ/2.4 aperture","12 מגה פיקסל
ƒ/1.8 aperture",iPadOS 16,USB Type-C,ללא,ללא,Yellow,כ-481 גרם,,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"5,340",Apple,MNXT3RK/A,"Liquid Retina XDR display 12.9-inch (diagonal) mini-LED backlit Multi‑Touch display with IPS technology 2D backlighting system with 2596 full‑array local dimming zones 2732-by-2048-pixel resolution at 264 pixels per inch (ppi) ProMotion technology Wide color display (P3) True Tone display Fingerprint-resistant oleophobic coating Fully laminated display Antireflective coating 1.8% reflectivity SDR brightness: 600 nits max XDR brightness: 1000 nits max full screen, 1600 nits peak (HDR content only) 1,000,000:1 contrast ratio Supports Apple Pencil (2nd generation) Apple Pencil hover",pixels 2732 x 2048,"Apple M2 chip 8-core CPU with 4 performance cores and 4 efficiency cores 10-core GPU 16-core Neural Engine 100GB/s memory bandwidth 8GB RAM on models with 128GB, 256GB, or 512GB storage 16GB RAM on models with 1TB or 2TB storage Media engine Hardware-accelerated H.264, HEVC, ProRes, and ProRes RAW Video decode engine Video encode engine ProRes encode and decode engine","Wi-Fi 
Bluetooth 5.3
Wi‑Fi 6E (802.11ax) with 2x2 MIMO, simultaneous dual band (2.4GHz and 5GHz)4 Bluetooth 5.3 technology",,256GB,,,"12MP Ultra Wide camera, 122° field of view ƒ/2.4 aperture Portrait mode with advanced bokeh and Depth Control Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High‑Key Mono) Animoji and Memoji Smart HDR 4 1080p HD video recording at 25 fps, 30 fps, or 60 fps Time‑lapse video with stabilization Extended dynamic range for video up to 30 fps Cinematic video stabilization (1080p and 720p) Wide color capture for photos and Live Photos Lens correction Retina Flash Auto image stabilization Burst mode","Pro camera system: Wide and Ultra Wide cameras Wide: 12MP, ƒ/1.8 aperture Ultra Wide: 10MP, ƒ/2.4 aperture, and 125° field of view 2x optical zoom out Digital zoom up to 5x Five‑element lens (Wide and Ultra Wide) Brighter True Tone flash Panorama (up to 63MP) Sapphire crystal lens cover Autofocus with Focus Pixels (Wide) Smart HDR 4 Wide color capture for photos and Live Photos Lens correction (Ultra Wide) Advanced red-eye correction Photo geotagging Auto image stabilization Burst mode Image formats captured: HEIF and JPEG",iPadOS 16,"Thunderbolt / USB 4 port with support for:
Charging
DisplayPort
Thunderbolt 3 (up to 40Gb/s)
USB 4 (up to 40Gb/s)
USB 3.1 Gen 2 (up to 10Gb/s)",ללא,ללא,SILVER,כ- 682 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"5,719",Apple,MP1X3RK/A,"Liquid Retina XDR display 12.9-inch (diagonal) mini-LED backlit Multi‑Touch display with IPS technology 2D backlighting system with 2596 full‑array local dimming zones 2732-by-2048-pixel resolution at 264 pixels per inch (ppi) ProMotion technology Wide color display (P3) True Tone display Fingerprint-resistant oleophobic coating Fully laminated display Antireflective coating 1.8% reflectivity SDR brightness: 600 nits max XDR brightness: 1000 nits max full screen, 1600 nits peak (HDR content only) 1,000,000:1 contrast ratio Supports Apple Pencil (2nd generation) Apple Pencil hover",pixels 2732 x 2048,"Apple M2 chip 8-core CPU with 4 performance cores and 4 efficiency cores 10-core GPU 16-core Neural Engine 100GB/s memory bandwidth 8GB RAM on models with 128GB, 256GB, or 512GB storage 16GB RAM on models with 1TB or 2TB storage Media engine Hardware-accelerated H.264, HEVC, ProRes, and ProRes RAW Video decode engine Video encode engine ProRes encode and decode engine","Wi-Fi + Cellular
Bluetooth 5.3
Wi‑Fi 6E (802.11ax) with 2x2 MIMO, simultaneous dual band (2.4GHz and 5GHz)4 Bluetooth 5.3 technology",,128GB,,,"12MP Ultra Wide camera, 122° field of view ƒ/2.4 aperture Portrait mode with advanced bokeh and Depth Control Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High‑Key Mono) Animoji and Memoji Smart HDR 4 1080p HD video recording at 25 fps, 30 fps, or 60 fps Time‑lapse video with stabilization Extended dynamic range for video up to 30 fps Cinematic video stabilization (1080p and 720p) Wide color capture for photos and Live Photos Lens correction Retina Flash Auto image stabilization Burst mode","Pro camera system: Wide and Ultra Wide cameras Wide: 12MP, ƒ/1.8 aperture Ultra Wide: 10MP, ƒ/2.4 aperture, and 125° field of view 2x optical zoom out Digital zoom up to 5x Five‑element lens (Wide and Ultra Wide) Brighter True Tone flash Panorama (up to 63MP) Sapphire crystal lens cover Autofocus with Focus Pixels (Wide) Smart HDR 4 Wide color capture for photos and Live Photos Lens correction (Ultra Wide) Advanced red-eye correction Photo geotagging Auto image stabilization Burst mode Image formats captured: HEIF and JPEG",iPadOS 16,"Thunderbolt / USB 4 port with support for:
Charging
DisplayPort
Thunderbolt 3 (up to 40Gb/s)
USB 4 (up to 40Gb/s)
USB 3.1 Gen 2 (up to 10Gb/s)",ללא,ללא,Space Gray,כ- 685 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"4,885",Apple,iPad Pro M2 11,Liquid Retina display 11-inch (diagonal) LED backlit Multi‑Touch display with IPS technology 2388-by-1668-pixel resolution at 264 pixels per inch (ppi) ProMotion technology Wide color display (P3) True Tone display Fingerprint-resistant oleophobic coating Fully laminated display Antireflective coating 1.8% reflectivity SDR brightness: 600 nits max Supports Apple Pencil (2nd generation) Apple Pencil hover,2388x 1668 pixel,"Apple M2 chip 8-core CPU with 4 performance cores and 4 efficiency cores 10-core GPU 16-core Neural Engine 100GB/s memory bandwidth 8GB RAM on models with 128GB, 256GB, or 512GB storage 16GB RAM on models with 1TB or 2TB storage Media engine Hardware-accelerated H.264, HEVC, ProRes, and ProRes RAW Video decode engine Video encode engine ProRes encode and decode engine","Wi-Fi + Cellular
Bluetooth 5.3 technology","Wi‑Fi 6E (802.11ax) with 2x2 MIMO, simultaneous dual band (2.4GHz and 5GHz)4 Bluetooth 5.3 technology",256GB,,,"12MP Ultra Wide camera, 122° field of view ƒ/2.4 aperture Portrait mode with advanced bokeh and Depth Control Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High‑Key Mono) Animoji and Memoji Smart HDR 4 1080p HD video recording at 25 fps, 30 fps, or 60 fps Time‑lapse video with stabilization Extended dynamic range for video up to 30 fps Cinematic video stabilization (1080p and 720p) Wide color capture for photos and Live Photos Lens correction Retina Flash Auto image stabilization Burst mode","Pro camera system: Wide and Ultra Wide cameras Wide: 12MP, ƒ/1.8 aperture Ultra Wide: 10MP, ƒ/2.4 aperture, and 125° field of view 2x optical zoom out Digital zoom up to 5x Five‑element lens (Wide and Ultra Wide) Brighter True Tone flash Panorama (up to 63MP) Sapphire crystal lens cover Autofocus with Focus Pixels (Wide) Smart HDR 4 Wide color capture for photos and Live Photos Lens correction (Ultra Wide) Advanced red-eye correction Photo geotagging Auto image stabilization Burst mode Image formats captured: HEIF and JPEG",iPadOS 16,"Thunderbolt / USB 4 port with support for:
Charging
DisplayPort
Thunderbolt 3 (up to 40Gb/s)
USB 4 (up to 40Gb/s)
USB 3.1 Gen 2 (up to 10Gb/s)",ללא,ללא,Space Gray,כ- 470 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
"6,265",Apple,iPad Pro M2 12.9,"Liquid Retina XDR display 12.9-inch (diagonal) mini-LED backlit Multi‑Touch display with IPS technology 2D backlighting system with 2596 full‑array local dimming zones 2732-by-2048-pixel resolution at 264 pixels per inch (ppi) ProMotion technology Wide color display (P3) True Tone display Fingerprint-resistant oleophobic coating Fully laminated display Antireflective coating 1.8% reflectivity SDR brightness: 600 nits max XDR brightness: 1000 nits max full screen, 1600 nits peak (HDR content only) 1,000,000:1 contrast ratio Supports Apple Pencil (2nd generation) Apple Pencil hover",2732x 2048 pixel,"Apple M2 chip 8-core CPU with 4 performance cores and 4 efficiency cores 10-core GPU 16-core Neural Engine 100GB/s memory bandwidth 8GB RAM on models with 128GB, 256GB, or 512GB storage 16GB RAM on models with 1TB or 2TB storage Media engine Hardware-accelerated H.264, HEVC, ProRes, and ProRes RAW Video decode engine Video encode engine ProRes encode and decode engine","Wi-Fi + Cellular
Bluetooth 5.3 technology","Wi‑Fi 6E (802.11ax) with 2x2 MIMO, simultaneous dual band (2.4GHz and 5GHz)4 Bluetooth 5.3 technology",256GB,,,"12MP Ultra Wide camera, 122° field of view ƒ/2.4 aperture Portrait mode with advanced bokeh and Depth Control Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High‑Key Mono) Animoji and Memoji Smart HDR 4 1080p HD video recording at 25 fps, 30 fps, or 60 fps Time‑lapse video with stabilization Extended dynamic range for video up to 30 fps Cinematic video stabilization (1080p and 720p) Wide color capture for photos and Live Photos Lens correction Retina Flash Auto image stabilization Burst mode","Pro camera system: Wide and Ultra Wide cameras Wide: 12MP, ƒ/1.8 aperture Ultra Wide: 10MP, ƒ/2.4 aperture, and 125° field of view 2x optical zoom out Digital zoom up to 5x Five‑element lens (Wide and Ultra Wide) Brighter True Tone flash Panorama (up to 63MP) Sapphire crystal lens cover Autofocus with Focus Pixels (Wide) Smart HDR 4 Wide color capture for photos and Live Photos Lens correction (Ultra Wide) Advanced red-eye correction Photo geotagging Auto image stabilization Burst mode Image formats captured: HEIF and JPEG",iPadOS 16,"Thunderbolt / USB 4 port with support for:
Charging
DisplayPort
Thunderbolt 3 (up to 40Gb/s)
USB 4 (up to 40Gb/s)
USB 3.1 Gen 2 (up to 10Gb/s)",ללא,GPS/GNSS Cellular,Space Gray,כ- 685 גרם,תומך ב (Apple Pencil (2nd Generation הניתן לרכישה בנפרד -  לרכישה לחץ/י כאן,שנה אחריות היבואן הרשמי בטלפון 1-700-701-870
